Distance_(pixels),Gray_Value,,Gray_Value,,Max Value,,Row of max value
1249,13.792,,0.447821287,,,,
1250,13.507,,0.438567439,,,,
1251,13.387,,0.434671083,,,,
1252,13.391,,0.434800961,,,,
1253,13.507,,0.438567439,,,,
1254,13.545,,0.439801286,,,,
1255,13.499,,0.438307682,,,,
1256,13.397,,0.434995779,,,,
1257,13.41,,0.435417884,,,,
1258,13.338,,0.43308007,,,,
1259,13.319,,0.432463147,,,,
1260,13.313,,0.432268329,,,,
1261,13.228,,0.42950841,,,,
1262,12.987,,0.421683226,,,,
1263,12.781,,0.41499448,,,,
1264,12.603,,0.409214884,,,,
1265,12.45,,0.404247029,,,,
